Item,spam
Apples,temf
Apricots,temf
Artichokes,vege
Barley,barl
"Beans, dry",bean
"Beans, green",bean
"Broad beans, horse beans, dry",bean
Cabbages and other brassicas,vege
Carrots and turnips,vege
Cauliflowers and broccoli,vege
Chick peas,chic
"Chillies and peppers, dry",vege
"Chillies and peppers, green",vege
Cucumbers and gherkins,temf
Dates,trof
Eggplants (aubergines),vege
"Fruit, citrus nes",temf
Garlic,vege
Grapes,temf
Lemons and limes,temf
Lentils,lent
Lettuce and chicory,vege
Maize,maiz
"Melons, other (inc.cantaloupes)",temf
Oats,ocer
Olives,rest
"Onions, dry",vege
"Onions, shallots, green",vege
Oranges,temf
Peaches and nectarines,temf
Pears,temf
"Peas, dry",temf
"Peas, green",temf
Plums and sloes,temf
Potatoes,pota
Pulses nes,opul
"Pumpkins, squash and gourds",yams
Quinces,temf
"Rice, paddy",rice
Seed cotton,cott
Sorghum,sorg
Sunflower seed,sunf
"Tangerines, mandarins, clementines, satsumas",temf
"Tobacco, unmanufactured",toba
Tomatoes,vege
Triticale,whea
"Vegetables, fresh nes",vege
"Vegetables, leguminous nes",opul
Vetches,pige
Watermelons,temf
Wheat,whea
Avocados,trof
Bananas,trof
Cassava,cass
"Coffee, green",acof
"Groundnuts, with shell",grou
"Mangoes, mangosteens, guavas",trof
Millet,pmil
Pineapples,trof
Soybeans,soyb
Sweet potatoes,swpo
Okra,vege
Taro (cocoyam),yams
Yams,yams
Bambara beans,cowp
Cotton lint,cott
Cottonseed,cott
"Cow peas, dry",cowp
Fonio,smil
Karite nuts (sheanuts),grou
Sesame seed,sesa
Cereals nes,ocer
"Fruit, tropical fresh nes",trof
Oil palm fruit,oilp
"Oil, palm",oilp
Palm kernels,oilp
Pigeon peas,pige
Sugar cane,sugc
Tea,teas
"Cashew nuts, with shell",grou
"Cocoa, beans",coco
Coconuts,cnut
Ginger,rest
Grapefruit (inc. pomelos),temf
Kola nuts,grou
"Maize, green",maiz
Nuts nes,grou
Papayas,trof
Plantains and others,plnt
"Rubber, natural",rest
"Fruit, fresh nes",temf
Pistachios,temf
Roots and tubers nes,yams
Plantains,plnt
Spinach,vege
Figs,temf
Flax fibre and tow,ofib
Linseed,ooil
Lupins,opul
Strawberries,temf
Sugar beet,sugb
Castor oil seed,ooil
Hops,ooil
"Nutmeg, mace and cardamoms",ooil
Pepper (piper spp.),vege
Rapeseed,rape
Safflower seed,ooil
Asparagus,vege
"Leeks, other alliaceous vegetables",vege
"Pyrethrum, dried",rest
Sisal,ofib
Vanilla,rest
Cloves,ooil
Bananas Cavendish,bana
Bananas non-Cavendish,bana
"Bastfibres, other",ofib
Cashewapple,trof
"Almonds, with shell",ooil
Cherries,temf
Rye,ocer
String beans,opul
Spices nes,rest
Melonseed,temf
Cooking bananas,plnt
Oilseeds nes,ooil
Cinnamon (cannella),rest
Berries nes,temf
Chicory roots,orts
Gooseberries,temf
Mushrooms and truffles,rest
"Gums, natural",rest
Tea nes,teas
