Hour,Load,Share
0,4.494310853,0.008513741
1,4.652155887,0.008812752
2,4.494310853,0.008513741
3,4.810000921,0.009111764
4,4.178620785,0.007915717
5,4.810000921,0.009111764
6,4.494310853,0.008513741
7,4.810000921,0.009111764
8,13.17578773,0.024959386
9,29.27598121,0.055458583
10,48.53307536,0.091938014
11,50.74290584,0.096124179
12,28.01322093,0.053066489
13,32.59072692,0.061737829
14,57.53024231,0.108981683
15,50.42721577,0.095526155
16,43.95556938,0.083266674
17,34.48486733,0.06532597
18,15.38561821,0.02914555
19,20.59450433,0.039012938
20,23.43571494,0.044395149
21,16.64837848,0.031537644
22,14.9120831,0.028248515
23,11.43949235,0.021670257
