Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1991","1991","7021","Annual value","USD","124.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1991","1991","7021","Annual value","USD","487.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1991","1991","7021","Annual value","USD","216.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1991","1991","7021","Annual value","USD","535.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1991","1991","7021","Annual value","USD","974.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1991","1991","7021","Annual value","USD","535.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","56","Maize","1991","1991","7021","Annual value","USD","173.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1991","1991","7021","Annual value","USD","378.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1991","1991","7021","Annual value","USD","140.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","1991","1991","7021","Annual value","USD","216.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1991","1991","7021","Annual value","USD","243.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1991","1991","7021","Annual value","USD","175.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","27","Rice, paddy","1991","1991","7021","Annual value","USD","270.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1991","1991","7021","Annual value","USD","146.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1991","1991","7021","Annual value","USD","292.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1991","1991","7021","Annual value","USD","292.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1992","1992","7021","Annual value","USD","215.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1992","1992","7021","Annual value","USD","1360.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1992","1992","7021","Annual value","USD","590.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1992","1992","7021","Annual value","USD","787.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1992","1992","7021","Annual value","USD","1648.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1992","1992","7021","Annual value","USD","1156.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","56","Maize","1992","1992","7021","Annual value","USD","522.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1992","1992","7021","Annual value","USD","458","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1992","1992","7021","Annual value","USD","233.6","","Official data"
