Crop,AVG,Max,Min,kwh_kg,kwh_ton,,Crop,MAX,AVG,MIN
whea,0.076,0.104,0.023,0.021093802,21.09380174,,Wheat,0.028808,0.021052,0.006371
rice,0.052,0.128,0.011,0.014505112,14.50511236,,Rice,0.035456,0.014404,0.003047
maiz,0.184,0.491,0.029,0.051223837,51.22383699,,Maize,0.136007,0.050968,0.008033
smil,0.104,0.233,0.012,0.02893557,28.93557007,,Small millet,0.064541,0.028808,0.003324
pmil,0.104,0.233,0.012,0.02893557,28.93557007,,Pearl millet,0.064541,0.028808,0.003324
cowp,0.039,0.083,0.018,0.010736581,10.73658089,,Cowpea,0.022991,0.010803,0.004986
pige,0.039,0.083,0.018,0.010736581,10.73658089,,Pigeonpea,0.022991,0.010803,0.004986
chic,0.039,0.083,0.018,0.010736581,10.73658089,,Chickpea,0.022991,0.010803,0.004986
sugb,0.249,0.475,0.083,0.069307766,69.3077664,,Sugarbeet,0.131575,0.068973,0.022991
cass,0.064,0.166,0.011,0.017663552,17.66355186,,Cassava,0.045982,0.017728,0.003047
sunf,0.12,0.193,0.06,0.033446108,33.44610808,,Sunflower,0.053461,0.03324,0.01662
soyb,0.21,0.319,0.101,0.058297719,58.297719,,Soybean,0.088363,0.05817,0.027977
grou,0.032,0.05,0.007,0.008937563,8.937562692,,Groundnut,0.01385,0.008864,0.001939
rape,0.179,0.296,0.023,0.04967064,49.67064,,Rapeseed,0.081992,0.049583,0.006371
sugc,0.334,0.594,0.09,0.092908162,92.90816181,,Sugarcane,0.164538,0.092518,0.02493
